timestamp_ms, ax_mps2, ay_mps2, az_mps2, gx_rads, gy_rads, gz_rads, temp_c
1551,0.067,-0.550,11.151,4.618,-3.285,-5.498,26.297
1561,0.067,-0.483,10.098,2.049,-1.415,-1.423,26.297
1571,0.057,-0.479,10.098,0.121,-0.040,-0.099,26.215
1581,0.053,-0.488,10.117,0.116,-0.042,-0.110,26.215
1591,0.038,-0.488,10.093,0.081,-0.037,-0.097,26.258
1611,0.053,-0.474,10.088,-0.012,0.007,-0.027,26.277
1621,0.053,-0.474,10.093,-0.012,0.006,-0.026,26.285
1631,0.067,-0.502,10.088,-0.012,0.006,-0.027,26.285
1641,0.048,-0.493,10.112,-0.013,0.006,-0.026,26.246
1651,0.048,-0.493,10.074,-0.012,0.005,-0.026,26.246
1661,0.062,-0.493,10.079,-0.012,0.006,-0.026,26.242
1671,0.053,-0.502,10.093,-0.012,0.005,-0.027,26.242
1681,0.057,-0.502,10.079,-0.012,0.005,-0.027,26.273
1691,0.053,-0.502,10.074,-0.012,0.006,-0.027,26.273
1701,0.053,-0.493,10.098,-0.012,0.006,-0.027,26.234
1711,0.038,-0.498,10.112,-0.012,0.006,-0.027,26.234
1721,0.043,-0.488,10.088,-0.012,0.006,-0.027,26.211
1731,0.048,-0.483,10.102,-0.012,0.005,-0.026,26.211
1741,0.062,-0.493,10.102,-0.012,0.006,-0.026,26.281
1751,0.062,-0.488,10.098,-0.012,0.006,-0.027,26.281
1761,0.057,-0.488,10.083,-0.012,0.007,-0.026,26.242
1771,0.057,-0.502,10.083,-0.012,0.006,-0.026,26.242
1781,0.057,-0.493,10.088,-0.012,0.006,-0.027,26.254
1791,0.053,-0.493,10.093,-0.012,0.006,-0.027,26.254
1801,0.057,-0.493,10.069,-0.012,0.006,-0.027,26.293
1811,0.067,-0.493,10.098,-0.011,0.005,-0.027,26.293
1821,0.077,-0.498,10.098,-0.012,0.006,-0.026,26.258
1831,0.067,-0.479,10.098,-0.012,0.007,-0.027,26.258
1841,0.057,-0.512,10.069,-0.013,0.007,-0.027,26.238
1851,0.048,-0.502,10.074,-0.012,0.006,-0.027,26.238
1861,0.053,-0.488,10.083,-0.012,0.005,-0.027,26.215
1871,0.038,-0.498,10.074,-0.011,0.006,-0.026,26.215
1881,0.057,-0.498,10.093,-0.012,0.005,-0.026,26.207
